Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2010,10/02/09,09/20/09,"OZ Technology, Inc., Rathdrum, ID 83858","Decedent was working inside a mobile home, mixing propane and butane to make a substitute refrigerant. A fire occurred. The cause of death was determined to be carbon monoxide asphyxiation."
FY 2010,10/02/09,09/21/09,"Dennis Powell Loggin, St. Maries, ID 83861",Decedent was driving a log truck uphill to pick up a load of logs. The truck left the road and went 200 feet down a hill. Decedent was thrown for the truck.
FY 2010,10/02/09,09/23/09,"Hines Construction Company, Sparta, GA 31087","Employees were installing roof trusses 20 feet from ground level, when 50 trusses fell in a domino effect crushing the employees. One employee fatality and to employees were hospitalized."
FY 2010,10/02/09,09/24/09,"U E Power Train dba Bucks Engines, Amarillo, TX 79109","Decedent was observed standing behind the parts counter, conscious but bleeding from the head."
FY 2010,10/02/09,09/25/09,"Innovative Masonry, LLC, Hoboken, NJ 07030","Decedent fell 4-ft, 8-inches off a platform, striking his head."
FY 2010,10/02/09,09/25/09,"St. Peter Catholic Church, Deland, FL 32720","Decedent was cleaning the grout on the walls with a pressure washer, containing water, and was overexposed to carbon monoxide."
FY 2010,10/02/09,09/25/09,"Tyson Foods - River Valley Animal Foods, Scranton, AR 72863","Decedent was dumping a load of offal from a tractor trailer. He was in the process of dumping offal into a bin when the tailgate malfunctioned. Decedent was freeing the tailgate, it released, and the load swept the decedent into the offal bin. Decedent drowned in the bin."
FY 2010,10/02/09,09/26/09,"Artistic Painting Company, Grand Praire, TX 75050","Decedent was using a scaffold above 10 to 15 feet while painting. Instead of extending the scaffold, he used a step ladder on the scaffold, and feel off the scaffold."
FY 2010,10/02/09,09/26/09,"UPS, Louisville, KY 40202",The decedent returned from his break to his work area and was sitting when he fell over. He was transported to a local hospital where he was pronounced dead. It was determined the decedent died from natural causes.
FY 2010,10/02/09,09/27/09,"Colorado Bell Hotel & Casino, Laughlin, NV 89028",The decedent was not feeling well and left work early. While he was sitting waiting for the bus he collapsed and was non-responsive from an apparent heart attack. He was transported to the hospital where he was pronounced dead.
FY 2010,10/02/09,09/28/09,"B & C Auto Inc., Davenport, IA 52806",The decedent was removing a part from an elevated truck. The truck fell crushing the decedent.
FY 2010,10/02/09,09/28/09,"Brinks, Inc., Evansville, IN 47711","Decedent was assisting in unloading material when he fell from the back of the truck, striking his head."
FY 2010,10/02/09,09/28/09,"Jacoby Feed & Seed, Melvin, TX 76858",Employees were installing a tilt-wall into a trench. Decedent was inside the trench when the earth collapsed.
FY 2010,10/02/09,09/28/09,"Nelson Brothers Construction Co., Eagle Mountain, UT 84005",Decedent was operating a roller compactor on a grade. The compactor tipped over and fell on the decedent resulting in the decedent's death.
FY 2010,10/02/09,09/28/09,"Zachary Construction Corp., Mansfield, LA 71052",Decedent was walking across a tank and fell through a hatch into a tank of boiling water. He either drowned or died of thermal burns.
FY 2010,10/02/09,09/29/09,"Macy's West, Las Vegas, NV 89107",Decedent collapsed in the Macy's West store. CPR was performed. The decedent passed away at the hospital.
FY 2010,10/02/09,09/30/09,"Hoffman Sawmill, Jasper, IN 46546",Decedent was unloading logs from truck in sawmill yard. While releasing straps one of the logs rolled onto the employee.
FY 2010,10/02/09,09/30/09,"Randy's Pro Landscaping Service, LLC, Milburn, NJ 07041",Decedent was trimming a tree and fell 60 feet to the ground.
FY 2010,10/02/09,09/30/09,"Weight Farm, Bellfonte, PA 16823",Decedent was inside a silo loading the feeder from a ladder. He became wedged within the ladder cage in a fetal position and suffocated.
