number	number_sup	trip	trip_sup	boatname	master	tonnage	type_of_boat	built	bought	hired	yard	chamber	departure_date	departure_harbour	cape_arrival	cape_departure	cape_call	arrival_date	arrival_harbour	next_voyage	particulars
1		1		AMSTERDAM	Jan Jakobsz. Schellinger	260		1594			A		1595-04-02	Texel			true	1596-06-06	Engano		from 04-08 till 11-08 in the Mosselbaai; from 13-09 till 07-10 in the Ampalazabaai; from 09-10 till 13-12 in S. Augustins Bay, where before departure 127 of the 249 men were still alive; 11-01 till 21-01 at Ste. Marie I.; from 23-01 till 12-02 in the Bay of Antongil. The AMSTERDAM was set on fire near Bawean, 11-01-1597.
2		1		DUIFJE	Simon Lambrechtsz. Mau	50	pinas	1594			A		1595-04-02	Texel			true	1596-06-06	Engano	5001	HOLLANDIA on 26-10-1595; he was succeeded by Hendrik Jansz.
3		1		HOLLANDIA	Jan Dignumsz. van Kwadijk+	460		1594			A		1595-04-02	Texel			true	1596-06-06	Engano	5002	Jan Dignumsz. died on 29-05-1595 and Mau was his successor.
4		1		MAURITIUS	Jan Jansz. Molenaar	460		1594			A		1595-04-02	Texel			true	1596-06-06	Engano	5003	Jan Jansz. died on 25-12-1596 and Hendrik Jansz. was his successor.
5		1		LANGEBARK	Hans Huibrechtsz. Tonneman	300							1598-03-25	Zeeland			true	1599-03-01	Bantam	5010	other.
6		1		MAAN									1598-03-25	Zeeland			true				
7		1		ZON		140							1598-03-25	Zeeland			true	1599-02-01	Bantam	5011	
8		1		LEEUW	Stokmans	400							1598-03-28	Veere			true	1599-06-30	Atjeh	5012	01-04 till 17-04 at Torbay; from 11-05 till 19-05 at S. Nicolas; from 21-06 till 05-09 before Fernando de Noronha; from 17-11 till 18-11 in St. Helena Bay; from 21-11 till 07-12 in the Saldanha Bay; from 13-02 till 24-03 in S. Augustins Bay; from 10-04 till 27-04 at Mayotte; from 29-04 till 08-05 at Anjouan.
9		1		LEEUWIN	Frederik de Houtman	250							1598-03-28	Veere			true	1599-06-30	Atjeh	5013	
10		1		AMSTERDAM	Kornelis Jansz. Fortuin	500							1598-05-01	Texel			true	1598-12-27	Engano	5014	Fleet (0010-0017) of the Oude Oost-Indische Compagnie under command of admiral Jakob Kornelisz. van Neck aboard the MAURITIUS and vice-admiral Wybrand van Warwijck aboard the AMSTERDAM. On 08-08 1598 the fleet was split up in 2 parts, 1 part - the MAURITIUS, the HOLLANDIA and the OVERIJSSEL - under command of Van Neck took on provisions from 07-09 till 11-09 at Ste. Marie I. and from 12-09 till 16-09 in the Bay of Antongil. Only 2 men died. The other half under command of Van Warwijck took on provisions from 19-09 till 02-10 on an island, they named it Mauritius.
11		1		FRIESLAND	Jan Kornelisz. May	180	jacht						1598-05-01	Texel			true	1598-12-27	Engano	5004	
12		1		GELDERLAND	Jan Bruin	360							1598-05-01	Texel			true	1598-12-27	Engano	5008	
13		2		HOLLANDIA	Simon Lambrechtsz. Mau	460		1594	Amsterdam				1598-05-01	Texel			true	1598-11-26	Bantam	5005	Also mentioned as HOLLANDSE LEEUW.
14		2		MAURITIUS	Govert Jansz.	460		1594	Amsterdam				1598-05-01	Texel			true	1598-11-26	Bantam	5006	
15		2		OVERIJSSEL	Simon Jansz. Hoen	50	pinas	1594	Amsterdam				1598-05-01	Texel			true	1598-11-26	Bantam	5007	The former DUIFJE of the Eerste Schipvaart.
16		1		UTRECHT	Jan Martensz.	240							1598-05-01	Texel			true	1598-12-27	Engano	5015	
17		1		ZEELANDIA	Klaas Jansz. Melknap	360							1598-05-01	Texel			true	1598-12-27	Engano	5009	
18		1		BLIJDE BOODSCHAP	Sebald de Weert	150	jacht						1598-06-27	Goeree			true				Fleet (0018-0023) equipped by the Rotterdamse or Magelhaanse Compagnie under command of admiraal Jacques de Mahu and vice-admiraal Simon de Cordes; from 02-04 till 29-09 at the Cape Verde I.; from 16-12- till 02-01 at Annabon; April 7th the fleet entered Strait of Magellan; the fleet wintered in the Fortesene Bay till 23-08 and from 24-08 till 28-08 in Ridres Bay; during this winter 120 men died. September 3rd the fleet entered the Pacific, where it was scattered by heavy storms. Mahu died 23-09-1598, De Cordes succeeded. In Valparaiso the Spaniards laid an embargo on the BLIJDE BOODSCHAP, 17-11-1599; Dirk Gerritsz. Pomp, who succeeded Sebald de Weert as master on 24-09-1598, and his crew (18 men) were taken prisoner.
19		1		GELOOF	Gerrit van Beuningen	320							1598-06-27	Goeree			true				The GELOOF met the fleet of Van Noort and joined in; tried for 9 months to sail through the Strait but failed to do so; returned with 36 men under Sebald de Weert, who succeeded Van Beuningen, to Holland and arrived in Goeree 13-07-1600.
20		1		HOOP	Kornelis Jansz. Noris	500							1598-06-27	Goeree			true				De Cordes, on board of the HOOP, was killed by natives on La Mocha I., 11-11-1599 and succeeded by Hudcupee; the HOOP sailed via Hawaii and was lost with all hands, 24-09-1600.
21		1		LIEFDE	Jakob Jansz. Kwakernaak	300							1598-06-27	Goeree			true				Van Beuningen, vice-admiraal since 24-09-1598, aboard the LIEFDE was killed in S. Maria with 22 men and succeeded by Kwakernaak; the LIEFDE sailed via Hawaii and arrived in Japan 19-04-1600 with only 24/25 men. The Japanese confiscated the ship, but released the crew; later the ship was lost in Japanese waters.
22		1		POSTILJON	Gillis Jansz.		pinas										true				The POSTILJON was taken with the fleet in 4 parts and put together in Strait of Magellan, but lost with all hands in the Pacific.
23		1		TROUW	Jurriaan van Bokholt	220							1598-06-27	Goeree			true	1601-01-03	Tidore		The TROUW, under command of Balthasar de Cordes, who succeeded Jurriaan van Bokholt after his death 28-04-1599, arrived in Tidore, where the Portuguese laid an embargo on the ship and killed almost the whole crew.
24		1		EENDRACHT	Pieter Esaiasz. de Lint	50	jacht						1598-09-13	Zeeland			true				Fleet (0024-0027) under command of admiraal Olivier van Noort aboard the MAURITIUS and vice-admiraal Jakob Klaasz. van Ilpendam aboard the HENDRIK FREDERIK. Total of those on board 248. The MAURITIUS and the EENDRACHT were equipped by a Rotterdam company, the HENDRIK FREDERIK and the HOOP by an Amsterdam company. From 11-12 till 17-12 at Principe I. From 02-06 till 21-06 at S. Clara I., where the EENDRACHT was deserted and set on fire, because of unseaworthiness; from 20-09 till 29-10 at Port Desire; October 9th. the HOOP was renamed EENDRACHT; from 04-11 till 29-02 in Strait of Magellan, where they meet the GELOOF of the fleet of Mahu; January 26th Van Ilpendam was left behind on an island because of insubordination, De Lint became his successor as vice-admiraal from 15-10 till 20-11 at the Philippines and December 9th. before Manila, where the EENDRACHT was captured by the Spaniards December 14th. The MAURITIUS proceeded alone to Borneo December 26th; the HENDRIK FREDERIK ran ashore near Ternate, February 1601 and was sold to the sultan of Ternate. Huidekoper, captain of the HOOP died October 7th and was succeeded by Pieter de Lint who on his turn was succeeded by Lambert Biesman January 28th, 1600, after his appointment as vice-admiraal in stead of Van Ilpendam.
25		1		HENDRIK FREDERINK	Arend Klaasz. Kalkbuis	350							1598-09-13	Zeeland			true	1601-02-03	Ternate		Ran ashore at Ternate.
26		1		HOOP	Jakob Jansz. Huidekoper	50	jacht						1598-09-13	Zeeland			true				
27		1		MAURITIUS	Huigen Jansz. van Troyen	250							1598-09-13	Zeeland			true	1601-01-29	Djaratan	5022	A
28		1		WASSENDE MAAN	Kornelis Heinsz.	500							1599-04-06	Texel			true	1600-03-13	Bantam	5017	till 16-05 at Maio I.; from 02-07 till 17-07 before Corsico; from 27-10 till 10-11 Sonnebaai (Madagascar) and from 17-11 till 21-12 in the Bay of Antongil.
29		1		MORGENSTER	Kornelis Jansz. Melknap	400							1599-04-06	Texel			true	1600-03-13	Bantam	5019	
30		1		ZON	Kornelis Jansz. Schouten	580							1599-04-06	Texel			true	1600-03-13	Bantam	5022	
31		2		FRIESLAND	Jakob Pietersz.	180	jacht						1599-12-21	Texel			true	1600-09-01	Bantam	5016	Squadron (0031-0034) of the fleet of Van Neck which sailed later under command of vice-admiraal Jakob Willekens aboard the MAURITIUS.
32		3		HOLLANDIA	Pieter Klaasz. Nek	460		1594			A		1599-12-21	Texel			true	1600-09-01	Bantam	5026	
33		3		OVERIJSSEL	Thijmen Michielsz.	50	jacht	1594			A		1599-12-21	Texel			true	1600-09-01	Bantam	5028	
